FIPS_STATE,INSURANCE,RACECAT,prev_cnt,mort_cnt
12.0,1.0,6.0,271.0,41.0
13.0,1.0,1.0,95106.0,18146.0
13.0,1.0,2.0,24024.0,4747.0
13.0,1.0,3.0,563.0,82.0
13.0,1.0,4.0,1263.0,163.0
13.0,1.0,5.0,2021.0,298.0
15.0,1.0,1.0,4028.0,583.0
15.0,1.0,3.0,1723.0,217.0
15.0,1.0,4.0,8479.0,1218.0
15.0,1.0,5.0,704.0,99.0
16.0,1.0,1.0,21393.0,3825.0
16.0,1.0,4.0,150.0,34.0
16.0,1.0,5.0,695.0,93.0
17.0,1.0,1.0,148330.0,31016.0
17.0,1.0,2.0,21919.0,4410.0
17.0,1.0,3.0,1171.0,182.0
17.0,1.0,4.0,3572.0,590.0
17.0,1.0,5.0,9355.0,1570.0
18.0,1.0,1.0,93695.0,19460.0
18.0,1.0,3.0,366.0,68.0
18.0,1.0,4.0,547.0,101.0
18.0,1.0,5.0,1503.0,257.0
19.0,1.0,1.0,51823.0,10961.0
19.0,1.0,2.0,669.0,124.0
19.0,1.0,3.0,183.0,35.0
19.0,1.0,4.0,237.0,46.0
19.0,1.0,5.0,465.0,76.0
20.0,1.0,0.0,323.0,24.0
20.0,1.0,1.0,47700.0,9683.0
20.0,1.0,2.0,1841.0,390.0
20.0,1.0,3.0,222.0,39.0
20.0,1.0,4.0,344.0,48.0
20.0,1.0,5.0,1314.0,231.0
20.0,1.0,6.0,280.0,62.0
21.0,1.0,0.0,279.0,36.0
21.0,1.0,1.0,63277.0,13086.0
21.0,1.0,3.0,178.0,31.0
21.0,1.0,4.0,187.0,25.0
21.0,1.0,5.0,362.0,59.0
22.0,1.0,1.0,51722.0,10251.0
22.0,1.0,3.0,241.0,43.0
22.0,1.0,4.0,415.0,61.0
22.0,1.0,5.0,1316.0,266.0
23.0,1.0,0.0,173.0,15.0
23.0,1.0,1.0,22391.0,4250.0
24.0,1.0,0.0,1218.0,127.0
24.0,1.0,1.0,78503.0,14806.0
24.0,1.0,3.0,952.0,126.0
24.0,1.0,4.0,3999.0,490.0
24.0,1.0,5.0,2706.0,343.0
25.0,1.0,1.0,99397.0,19899.0
25.0,1.0,3.0,1076.0,170.0
25.0,1.0,4.0,1765.0,277.0
25.0,1.0,5.0,4996.0,649.0
26.0,1.0,0.0,1493.0,185.0
26.0,1.0,1.0,117424.0,23684.0
26.0,1.0,2.0,19090.0,3944.0
26.0,1.0,3.0,920.0,154.0
26.0,1.0,4.0,1706.0,302.0
26.0,1.0,5.0,2459.0,391.0
26.0,1.0,6.0,521.0,110.0
27.0,1.0,0.0,592.0,57.0
27.0,1.0,1.0,56100.0,10552.0
27.0,1.0,2.0,1646.0,208.0
27.0,1.0,3.0,316.0,46.0
27.0,1.0,4.0,568.0,75.0
27.0,1.0,5.0,614.0,90.0
27.0,1.0,6.0,622.0,120.0
28.0,1.0,1.0,53486.0,9900.0
28.0,1.0,2.0,18123.0,3690.0
28.0,1.0,5.0,398.0,81.0
29.0,1.0,0.0,511.0,51.0
29.0,1.0,1.0,85199.0,17466.0
29.0,1.0,2.0,7386.0,1624.0
29.0,1.0,3.0,299.0,41.0
29.0,1.0,4.0,553.0,94.0
29.0,1.0,5.0,901.0,164.0
29.0,1.0,6.0,172.0,35.0
30.0,1.0,1.0,15896.0,3176.0
30.0,1.0,5.0,178.0,31.0
30.0,1.0,6.0,706.0,144.0
31.0,1.0,1.0,32804.0,6098.0
31.0,1.0,2.0,693.0,149.0
31.0,1.0,5.0,602.0,105.0
32.0,1.0,0.0,278.0,24.0
32.0,1.0,1.0,24879.0,4623.0
32.0,1.0,2.0,2831.0,471.0
32.0,1.0,3.0,473.0,70.0
32.0,1.0,4.0,1816.0,313.0
32.0,1.0,5.0,3384.0,559.0
32.0,1.0,6.0,265.0,62.0
33.0,1.0,1.0,24516.0,4712.0
33.0,1.0,5.0,224.0,25.0
34.0,1.0,1.0,113485.0,22731.0
34.0,1.0,2.0,13416.0,2919.0
34.0,1.0,3.0,1383.0,203.0
34.0,1.0,4.0,5336.0,847.0
34.0,1.0,5.0,11910.0,2082.0
35.0,1.0,1.0,16455.0,3029.0
35.0,1.0,2.0,406.0,69.0
35.0,1.0,3.0,121.0,15.0
35.0,1.0,4.0,155.0,31.0
35.0,1.0,5.0,6871.0,1326.0
36.0,1.0,0.0,4323.0,418.0
36.0,1.0,1.0,200769.0,38929.0
36.0,1.0,2.0,29595.0,6333.0
36.0,1.0,3.0,3910.0,612.0
36.0,1.0,4.0,11105.0,1808.0
36.0,1.0,5.0,21297.0,3948.0
36.0,1.0,6.0,380.0,85.0
37.0,1.0,0.0,809.0,80.0
37.0,1.0,1.0,113070.0,22105.0
37.0,1.0,2.0,25418.0,4954.0
37.0,1.0,3.0,855.0,153.0
37.0,1.0,4.0,1143.0,180.0
37.0,1.0,5.0,2027.0,302.0
37.0,1.0,6.0,866.0,137.0
38.0,1.0,1.0,11094.0,2443.0
39.0,1.0,1.0,134261.0,28195.0
39.0,1.0,3.0,693.0,116.0
39.0,1.0,4.0,1029.0,166.0
39.0,1.0,5.0,1541.0,261.0
40.0,1.0,1.0,55155.0,11279.0
40.0,1.0,2.0,3446.0,710.0
40.0,1.0,4.0,393.0,69.0
40.0,1.0,5.0,1215.0,205.0
40.0,1.0,6.0,5087.0,1082.0
41.0,1.0,0.0,392.0,32.0
41.0,1.0,1.0,41553.0,7056.0
41.0,1.0,2.0,516.0,82.0
41.0,1.0,3.0,283.0,50.0
41.0,1.0,4.0,750.0,117.0
41.0,1.0,5.0,1344.0,185.0
41.0,1.0,6.0,513.0,82.0
42.0,1.0,1.0,159535.0,32226.0
42.0,1.0,2.0,12919.0,2783.0
42.0,1.0,3.0,871.0,143.0
42.0,1.0,4.0,2416.0,404.0
42.0,1.0,5.0,3850.0,611.0
44.0,1.0,0.0,152.0,18.0
44.0,1.0,1.0,11592.0,2227.0
44.0,1.0,3.0,94.0,19.0
44.0,1.0,4.0,114.0,20.0
44.0,1.0,5.0,545.0,67.0
45.0,1.0,1.0,68006.0,13030.0
45.0,1.0,3.0,303.0,43.0
45.0,1.0,4.0,341.0,48.0
45.0,1.0,5.0,721.0,114.0
46.0,1.0,1.0,11903.0,2508.0
47.0,1.0,1.0,87924.0,17444.0
47.0,1.0,3.0,273.0,38.0
47.0,1.0,4.0,469.0,81.0
47.0,1.0,5.0,700.0,108.0
48.0,1.0,0.0,1667.0,153.0
48.0,1.0,1.0,235786.0,43856.0
48.0,1.0,2.0,31365.0,5950.0
48.0,1.0,3.0,1607.0,205.0
48.0,1.0,4.0,7368.0,1004.0
48.0,1.0,5.0,56231.0,10656.0
48.0,1.0,6.0,611.0,125.0
49.0,1.0,1.0,23306.0,4438.0
49.0,1.0,3.0,133.0,22.0
49.0,1.0,4.0,307.0,41.0
49.0,1.0,5.0,983.0,174.0
50.0,1.0,1.0,12257.0,2141.0
51.0,1.0,1.0,103872.0,19943.0
51.0,1.0,2.0,20490.0,3955.0
51.0,1.0,3.0,1027.0,142.0
51.0,1.0,4.0,3653.0,486.0
51.0,1.0,5.0,2360.0,336.0
53.0,1.0,0.0,903.0,95.0
53.0,1.0,1.0,76350.0,13491.0
53.0,1.0,2.0,1889.0,318.0
53.0,1.0,3.0,833.0,125.0
53.0,1.0,4.0,3472.0,565.0
53.0,1.0,5.0,2750.0,431.0
53.0,1.0,6.0,935.0,194.0
54.0,1.0,1.0,31001.0,6033.0
54.0,1.0,2.0,818.0,161.0
54.0,1.0,5.0,139.0,27.0
55.0,1.0,0.0,672.0,54.0
55.0,1.0,1.0,62056.0,12653.0
55.0,1.0,2.0,2649.0,502.0
55.0,1.0,3.0,269.0,50.0
55.0,1.0,4.0,650.0,107.0
55.0,1.0,5.0,1351.0,221.0
55.0,1.0,6.0,600.0,125.0
56.0,1.0,1.0,8955.0,1697.0
72.0,1.0,1.0,147.0,15.0
72.0,1.0,5.0,10610.0,1586.0
1.0,2.0,1.0,49206.0,7647.0
1.0,2.0,2.0,21944.0,3046.0
1.0,2.0,3.0,174.0,24.0
1.0,2.0,4.0,237.0,18.0
1.0,2.0,5.0,434.0,39.0
2.0,2.0,1.0,289.0,58.0
4.0,2.0,0.0,431.0,33.0
4.0,2.0,1.0,61322.0,10271.0
4.0,2.0,2.0,3640.0,476.0
4.0,2.0,3.0,484.0,51.0
4.0,2.0,4.0,1371.0,185.0
4.0,2.0,5.0,15594.0,2213.0
4.0,2.0,6.0,541.0,76.0
5.0,2.0,1.0,23101.0,3015.0
5.0,2.0,2.0,5468.0,708.0
5.0,2.0,4.0,114.0,13.0
5.0,2.0,5.0,493.0,51.0
5.0,2.0,6.0,130.0,13.0
6.0,2.0,0.0,1639.0,138.0
6.0,2.0,1.0,196365.0,33068.0
6.0,2.0,2.0,26843.0,4120.0
6.0,2.0,3.0,6208.0,767.0
6.0,2.0,4.0,41616.0,4711.0
6.0,2.0,5.0,91577.0,11328.0
6.0,2.0,6.0,767.0,109.0
8.0,2.0,0.0,390.0,26.0
8.0,2.0,1.0,44540.0,7461.0
8.0,2.0,2.0,2393.0,327.0
8.0,2.0,3.0,317.0,40.0
8.0,2.0,4.0,870.0,114.0
8.0,2.0,5.0,7340.0,1020.0
8.0,2.0,6.0,126.0,13.0
9.0,2.0,0.0,476.0,34.0
9.0,2.0,1.0,32342.0,6087.0
9.0,2.0,3.0,313.0,47.0
9.0,2.0,4.0,463.0,58.0
9.0,2.0,5.0,3701.0,421.0
10.0,2.0,1.0,3248.0,596.0
10.0,2.0,5.0,208.0,28.0
11.0,2.0,1.0,356.0,51.0
11.0,2.0,2.0,2561.0,378.0
11.0,2.0,5.0,121.0,13.0
12.0,2.0,0.0,2272.0,179.0
12.0,2.0,1.0,195776.0,26410.0
12.0,2.0,2.0,45909.0,5445.0
12.0,2.0,3.0,2431.0,253.0
12.0,2.0,4.0,4448.0,396.0
12.0,2.0,5.0,111361.0,9132.0
12.0,2.0,6.0,227.0,21.0
13.0,2.0,1.0,62617.0,9449.0
13.0,2.0,2.0,40784.0,5233.0
13.0,2.0,3.0,485.0,63.0
13.0,2.0,4.0,2394.0,134.0
13.0,2.0,5.0,2275.0,215.0
15.0,2.0,1.0,4713.0,583.0
15.0,2.0,3.0,2191.0,302.0
15.0,2.0,4.0,12293.0,1644.0
15.0,2.0,5.0,1449.0,169.0
16.0,2.0,1.0,14691.0,2195.0
16.0,2.0,4.0,125.0,28.0
16.0,2.0,5.0,639.0,74.0
17.0,2.0,1.0,64164.0,11408.0
17.0,2.0,2.0,22039.0,3216.0
17.0,2.0,3.0,749.0,80.0
17.0,2.0,4.0,2311.0,241.0
17.0,2.0,5.0,9434.0,1027.0
18.0,2.0,1.0,57638.0,9372.0
18.0,2.0,3.0,232.0,35.0
18.0,2.0,4.0,321.0,41.0
18.0,2.0,5.0,1572.0,202.0
19.0,2.0,1.0,20243.0,3364.0
19.0,2.0,2.0,773.0,88.0
19.0,2.0,3.0,73.0,11.0
19.0,2.0,4.0,245.0,22.0
19.0,2.0,5.0,364.0,36.0
20.0,2.0,0.0,71.0,13.0
20.0,2.0,1.0,14449.0,2348.0
20.0,2.0,2.0,1936.0,276.0
20.0,2.0,3.0,75.0,12.0
20.0,2.0,4.0,240.0,22.0
20.0,2.0,5.0,760.0,102.0
20.0,2.0,6.0,106.0,16.0
21.0,2.0,0.0,217.0,21.0
21.0,2.0,1.0,43357.0,6373.0
21.0,2.0,3.0,122.0,11.0
21.0,2.0,4.0,177.0,20.0
21.0,2.0,5.0,348.0,34.0
22.0,2.0,1.0,33407.0,4954.0
22.0,2.0,3.0,193.0,32.0
22.0,2.0,4.0,398.0,41.0
22.0,2.0,5.0,1720.0,247.0
23.0,2.0,0.0,172.0,12.0
23.0,2.0,1.0,13929.0,1889.0
24.0,2.0,0.0,156.0,17.0
24.0,2.0,1.0,11823.0,2450.0
24.0,2.0,3.0,164.0,30.0
24.0,2.0,4.0,689.0,98.0
24.0,2.0,5.0,624.0,76.0
25.0,2.0,1.0,40281.0,7267.0
25.0,2.0,3.0,688.0,109.0
25.0,2.0,4.0,3151.0,328.0
25.0,2.0,5.0,6951.0,681.0
26.0,2.0,0.0,1065.0,88.0
26.0,2.0,1.0,108355.0,18886.0
26.0,2.0,2.0,20981.0,3491.0
26.0,2.0,3.0,694.0,101.0
26.0,2.0,4.0,961.0,121.0
26.0,2.0,5.0,2448.0,323.0
26.0,2.0,6.0,257.0,41.0
27.0,2.0,0.0,551.0,56.0
27.0,2.0,1.0,57415.0,11058.0
27.0,2.0,2.0,1894.0,241.0
27.0,2.0,3.0,352.0,49.0
27.0,2.0,4.0,1289.0,184.0
27.0,2.0,5.0,706.0,96.0
27.0,2.0,6.0,308.0,57.0
28.0,2.0,1.0,11570.0,1620.0
28.0,2.0,2.0,9758.0,1168.0
28.0,2.0,5.0,176.0,21.0
29.0,2.0,0.0,296.0,28.0
29.0,2.0,1.0,62389.0,9833.0
29.0,2.0,2.0,9504.0,1330.0
29.0,2.0,3.0,213.0,26.0
29.0,2.0,4.0,380.0,33.0
29.0,2.0,5.0,960.0,109.0
29.0,2.0,6.0,136.0,15.0
30.0,2.0,1.0,5829.0,804.0
30.0,2.0,5.0,95.0,12.0
30.0,2.0,6.0,124.0,22.0
31.0,2.0,1.0,9652.0,1575.0
31.0,2.0,2.0,799.0,107.0
31.0,2.0,5.0,346.0,45.0
32.0,2.0,0.0,160.0,12.0
32.0,2.0,1.0,19511.0,3214.0
32.0,2.0,2.0,2966.0,405.0
32.0,2.0,3.0,433.0,60.0
32.0,2.0,4.0,1580.0,216.0
32.0,2.0,5.0,3241.0,421.0
32.0,2.0,6.0,79.0,15.0
33.0,2.0,1.0,7490.0,1169.0
33.0,2.0,5.0,139.0,19.0
34.0,2.0,1.0,47101.0,8332.0
34.0,2.0,2.0,13177.0,2020.0
34.0,2.0,3.0,751.0,93.0
34.0,2.0,4.0,2553.0,287.0
34.0,2.0,5.0,14633.0,1394.0
35.0,2.0,1.0,11986.0,1731.0
35.0,2.0,2.0,349.0,56.0
35.0,2.0,3.0,101.0,15.0
35.0,2.0,4.0,170.0,16.0
35.0,2.0,5.0,8630.0,1107.0
36.0,2.0,0.0,2929.0,239.0
36.0,2.0,1.0,131661.0,23343.0
36.0,2.0,2.0,38646.0,6025.0
36.0,2.0,3.0,3199.0,388.0
36.0,2.0,4.0,19383.0,1692.0
36.0,2.0,5.0,44807.0,5130.0
36.0,2.0,6.0,470.0,51.0
37.0,2.0,0.0,479.0,30.0
37.0,2.0,1.0,77460.0,12610.0
37.0,2.0,2.0,27390.0,3898.0
37.0,2.0,3.0,734.0,90.0
37.0,2.0,4.0,711.0,90.0
37.0,2.0,5.0,1794.0,189.0
37.0,2.0,6.0,571.0,80.0
38.0,2.0,1.0,3451.0,702.0
39.0,2.0,1.0,135781.0,24766.0
39.0,2.0,3.0,680.0,103.0
39.0,2.0,4.0,1209.0,170.0
39.0,2.0,5.0,2550.0,285.0
40.0,2.0,1.0,21532.0,3342.0
40.0,2.0,2.0,2525.0,298.0
40.0,2.0,4.0,237.0,35.0
40.0,2.0,5.0,648.0,72.0
40.0,2.0,6.0,1398.0,188.0
41.0,2.0,0.0,504.0,46.0
41.0,2.0,1.0,51708.0,7772.0
41.0,2.0,2.0,1141.0,126.0
41.0,2.0,3.0,465.0,47.0
41.0,2.0,4.0,1834.0,198.0
41.0,2.0,5.0,1686.0,189.0
41.0,2.0,6.0,290.0,47.0
42.0,2.0,1.0,153627.0,29066.0
42.0,2.0,2.0,19974.0,3392.0
42.0,2.0,3.0,771.0,105.0
42.0,2.0,4.0,2000.0,248.0
42.0,2.0,5.0,6330.0,753.0
44.0,2.0,0.0,129.0,16.0
44.0,2.0,1.0,13479.0,2663.0
44.0,2.0,3.0,183.0,28.0
44.0,2.0,4.0,152.0,23.0
44.0,2.0,5.0,1396.0,178.0
45.0,2.0,1.0,31366.0,4909.0
45.0,2.0,3.0,139.0,21.0
45.0,2.0,4.0,246.0,25.0
45.0,2.0,5.0,753.0,73.0
46.0,2.0,1.0,5372.0,1042.0
47.0,2.0,1.0,72336.0,11241.0
47.0,2.0,3.0,236.0,28.0
47.0,2.0,4.0,452.0,48.0
47.0,2.0,5.0,855.0,82.0
48.0,2.0,0.0,1092.0,94.0
48.0,2.0,1.0,151602.0,22543.0
48.0,2.0,2.0,42324.0,5456.0
48.0,2.0,3.0,1235.0,137.0
48.0,2.0,4.0,8135.0,740.0
48.0,2.0,5.0,93693.0,11412.0
48.0,2.0,6.0,387.0,52.0
49.0,2.0,1.0,18199.0,2628.0
49.0,2.0,3.0,136.0,12.0
49.0,2.0,4.0,375.0,61.0
49.0,2.0,5.0,1152.0,124.0
50.0,2.0,1.0,1965.0,273.0
51.0,2.0,1.0,33560.0,5598.0
51.0,2.0,2.0,15052.0,2160.0
51.0,2.0,3.0,321.0,33.0
51.0,2.0,4.0,1719.0,142.0
51.0,2.0,5.0,1295.0,139.0
53.0,2.0,0.0,653.0,56.0
53.0,2.0,1.0,46315.0,7318.0
53.0,2.0,2.0,2059.0,262.0
53.0,2.0,3.0,645.0,72.0
53.0,2.0,4.0,3988.0,434.0
53.0,2.0,5.0,2178.0,286.0
53.0,2.0,6.0,386.0,50.0
54.0,2.0,1.0,21433.0,3725.0
54.0,2.0,2.0,645.0,92.0
54.0,2.0,5.0,84.0,15.0
55.0,2.0,0.0,514.0,49.0
55.0,2.0,1.0,60719.0,11063.0
55.0,2.0,2.0,5148.0,658.0
55.0,2.0,3.0,258.0,31.0
55.0,2.0,4.0,461.0,72.0
55.0,2.0,5.0,1669.0,168.0
55.0,2.0,6.0,278.0,45.0
56.0,2.0,1.0,750.0,142.0
72.0,2.0,1.0,244.0,32.0
72.0,2.0,5.0,114846.0,10910.0
